date,county,confirmed_hosp,suspected_hosp,total_hosp,population,total_doses,cumulative_fully_vaccinated,pct_fully_vaccinated
2020-04-05,San Benito,3,0,3,64521,NA,NA,NA
2020-04-05,San Bernardino,146,240,386,2183239,NA,NA,NA
2020-04-05,San Diego,179,220,399,3296045,NA,NA,NA
2020-04-05,San Francisco,79,68,147,870393,NA,NA,NA
2020-04-05,San Joaquin,46,24,70,780558,NA,NA,NA
2020-04-05,San Luis Obispo,2,11,13,281879,NA,NA,NA
2020-04-05,San Mateo,69,15,84,762511,NA,NA,NA
2020-04-05,Santa Barbara,31,26,57,448244,NA,NA,NA
2020-04-05,Santa Clara,166,69,235,1931026,NA,NA,NA
2020-04-05,Santa Cruz,5,12,17,270462,NA,NA,NA
2020-04-05,Shasta,8,11,19,181984,NA,NA,NA
2020-04-05,Siskiyou,0,2,2,43991,NA,NA,NA
2020-04-05,Solano,15,17,32,452698,NA,NA,NA
2020-04-05,Sonoma,6,21,27,488281,NA,NA,NA
2020-04-05,Stanislaus,30,25,55,553217,NA,NA,NA
2020-04-05,Sutter,0,0,0,99464,NA,NA,NA
2020-04-05,Tehama,0,1,1,65682,NA,NA,NA
2020-04-05,Trinity,0,0,0,16089,NA,NA,NA
2020-04-05,Tulare,4,20,24,473891,NA,NA,NA
2020-04-05,Tuolumne,0,0,0,55374,NA,NA,NA
2020-04-05,Ventura,21,128,149,843310,NA,NA,NA
2020-04-05,Yolo,3,6,9,216291,NA,NA,NA
2020-04-05,Yuba,1,14,15,81994,NA,NA,NA
2020-04-06,Alameda,79,70,149,1680380,NA,NA,NA
